additional_paid_in_capital_trend,additional_paid_in_capital_recent,total_assets_trend,total_assets_recent,total_current_liabilities_trend,total_current_liabilities_recent,total_liabilities_trend,total_liabilities_recent,symbol,cash_trend,cash_recent,total_capitalization_trend,total_capitalization_recent,total_current_assets_trend,total_current_assets_recent
0.0,24741.0,0.0,201935.0,0.0,181150.0,0.0,181150.0,AOGOU,0.0,25902.0,0.0,92240785.0,,
391824.0,479452.0,75774.0,534864.0,,,-143945.0,220282.0,AOMR,43551.5,43569.0,0.0,710975.0,,
,,141251.0,216463.0,-12331.0,46214.0,109617.0,177991.0,AOSL,69931.0,114026.0,0.0,170679.0,-3589.0,103081.0
0.0,852.8,,,,,,,APAM,,,0.0,80.2,,
98023002.0,134687490.0,0.0,379689.0,0.0,8207527.0,0.0,8574419.0,APCX,0.0,57497.0,0.0,20793137.0,0.0,104828.0
98023002.0,134687490.0,0.0,379689.0,0.0,8207527.0,0.0,8574419.0,APCXW,0.0,57497.0,0.0,20793137.0,0.0,104828.0
1704.0,32529.0,448036.0,449890.0,,,0.0,448186.0,APGB,,,,,,
250619961.0,280616071.0,166441468.0,193874726.0,2479431.0,6118369.0,0.0,3638938.0,APLS,164505728.0,189369216.0,0.0,187756357.0,0.0,27368730.0
213129.0,214794.0,17018.0,37264.0,2089.0,6517.0,2089.0,6517.0,APLT,0.0,12933.0,0.0,165669.0,16788.0,37034.0
,,-8250907.0,23309075.0,1749674.0,3080408.0,4455956.0,5786690.0,APM,,,,,-14155380.0,6128019.0
,,-8250907.0,23309075.0,1749674.0,3080408.0,4455956.0,5786690.0,APM,,,,,-14155380.0,6128019.0
0.0,64077282.0,,,,,,,APOPW,,,0.0,13696497.0,,
1831863.0,2598080.0,3696463.0,4045052.0,334381.0,598052.0,1769245.0,2312829.0,APP,-16212.0,44353.0,0.0,3332001.0,471098.0,662994.0
0.0,138912.0,58926.0,142326.0,22682.0,76186.0,13047.0,92422.0,APPN,41041.0,72434.0,0.0,50049.0,54758.0,127725.0
-331028.0,19335560.0,-41260834.0,24761804.0,-567096.0,4301013.0,-567096.0,4301013.0,APRE,-41274443.0,24401488.0,0.0,132186606.0,-41266730.0,24731347.0
225741.0,237329.0,161122.0,179768.0,2480.0,7027.0,2743.0,7290.0,APTX,158371.0,174551.0,0.0,173721.0,69231.0,86504.0
0.0,24569.0,0.0,536440.0,0.0,518318.0,,,APXI,,,,,,
0.0,24569.0,0.0,536440.0,0.0,518318.0,,,APXIU,,,,,,
57471.0,58931.0,65268.0,104657.0,4544.0,15350.0,,,AQST,65854.0,75063.0,0.0,81720.0,7089.0,30421.0
8142467.0,8167323.0,51077190.0,51346034.0,0.0,248240.0,2082760.0,2331000.0,AQU,,,0.0,51346034.0,,
,,0.0,4825148.0,101235.0,477531.0,1123159.0,3068215.0,AR,528043.0,547032.0,0.0,4736315.0,,
,,207235046.0,328613294.0,-12112222.0,16004865.0,-3282515.0,34118346.0,ARBB,,,,,87134385.0,134369910.0
0.0,24425.0,0.0,80000.0,0.0,55761.0,0.0,55761.0,ARBG,,,0.0,201274239.0,,
0.0,176873972.0,0.0,293486650.0,,,0.0,99214662.0,ARBK,0.0,122761579.0,0.0,253870875.0,,
0.0,176873972.0,0.0,293486650.0,,,0.0,99214662.0,ARBKL,0.0,122761579.0,0.0,253870875.0,,
0.0,24569.0,248000.0,341000.0,248000.0,316234.0,,,ARCK,,,,,,
0.0,24569.0,248000.0,341000.0,248000.0,316234.0,,,ARCKW,,,,,,
0.0,2468.0,185516.0,1873197.0,312424.0,605148.0,806491.0,1235071.0,ARCO,152021.0,254404.0,,,259638.0,552355.0
0.0,94850.0,23433.0,45970.0,777.0,3174.0,6280.0,15042.0,ARDS,21476.0,43767.0,0.0,39074.0,2931.0,25340.0
118185.0,122882.0,55068.0,92952.0,1977.0,18768.0,11730.0,50851.0,ARDX,52722.0,85625.0,0.0,51160.0,2255.0,39115.0
21442480.0,33342033.0,-547292.0,1327371.0,50603.0,4664392.0,-157287.0,4664392.0,AREB,0.0,6636707.0,,,-475260.0,1325572.0
21442480.0,33342033.0,-547292.0,1327371.0,50603.0,4664392.0,-157287.0,4664392.0,AREBW,0.0,6636707.0,,,-475260.0,1325572.0
,,263835.0,369607.0,,,0.0,42398.0,ARGX,0.0,89897.0,0.0,334375.0,0.0,101793.0
-88526.0,1670.0,-40620.0,315944.0,-77044.0,212128.0,-109690.0,352035.0,ARHS,18993.0,50739.0,0.0,33340.0,-4050.0,186003.0
0.0,24827.0,0.0,60524610.0,0.0,125490.0,0.0,2250000.0,ARIZ,,,0.0,60524610.0,,
0.0,24827.0,0.0,60524610.0,0.0,125490.0,0.0,2250000.0,ARIZR,,,0.0,60524610.0,,
0.0,24827.0,0.0,60524610.0,0.0,125490.0,0.0,2250000.0,ARIZU,,,0.0,60524610.0,,
0.0,24827.0,0.0,60524610.0,0.0,125490.0,0.0,2250000.0,ARIZW,,,0.0,60524610.0,,
2563830.0,2591398.0,28266733.0,28308623.0,22676658.0,22920493.0,,,ARMK,-116242.0,7709209.0,0.0,7046.7,29280542.0,29595387.0
0.0,5000987.0,0.0,116532.0,0.0,88256.0,0.0,88256.0,ARRWW,,,0.0,251928276.0,,
,,413720.0,923581.0,456049.0,590620.0,491615.0,737002.0,ARRY,269436.0,310262.0,0.0,405582.0,445808.0,619684.0
0.0,24497.0,299485.0,419374.0,308583.0,405068.0,0.0,405068.0,ARTE,0.0,28866.0,0.0,179434306.0,0.0,35846.0
0.0,24497.0,299485.0,419374.0,308583.0,405068.0,0.0,405068.0,ARTEU,0.0,28866.0,0.0,179434306.0,0.0,35846.0
0.0,24497.0,299485.0,419374.0,308583.0,405068.0,0.0,405068.0,ARTEW,0.0,28866.0,0.0,179434306.0,0.0,35846.0
,,588877.0,1038766.0,12594.0,51515.0,0.0,214.5,ARVL,380695.0,380699.0,,,317507.0,471031.0
,,39142682.0,105991051.0,0.0,17854864.0,0.0,66602499.0,ARVN,0.0,30912391.0,0.0,153166.0,38163964.0,103692692.0
2065.0,2211.2,6276.299999999999,6715.9,,,6133.5,6262.6,ARX,414.6,1238.2,0.0,794.0,,
