additional_paid_in_capital_trend,additional_paid_in_capital_recent,total_assets_trend,total_assets_recent,total_current_liabilities_trend,total_current_liabilities_recent,total_liabilities_trend,total_liabilities_recent,symbol,cash_trend,cash_recent,total_capitalization_trend,total_capitalization_recent,total_current_assets_trend,total_current_assets_recent,technology,software,ai,machine learning,cloud,saas,platform,digital,data,analytics,algorithm,automation,blockchain,cryptocurrency,cybersecurity,subscription,recurring,e-commerce,mobile,app,virtual,healthcare,biotech,pharmaceutical,medical,clinical,energy,renewable,solar,electric,battery,real estate,logistics,transportation,automotive,citigroup,citi,morgan stanley,ubs,barclays,volume,day,close,diff,price_public_total,public_price_per_share_x,raymond james,piper jaffray,wells fargo,merrill lynch,rbc capital,morgan stanley.1,merrill lynch.1,eli lilly,credit suisse,stifel,jefferies,hill road,robert w. baird,william blair,goldman sachs,deutsche bank,davis polk,william blair.1,goldman sachs.1,public_price_per_share_y,url,ipo_date,document_length
0.0,5000296.0,0.0,299743.0,0.0,275761.0,,,ADER,,,0.0,241023982.0,,,13,3,0,0,2,0,3,1,10,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,,,,1.0,,78681,2021-03-08 19:00:00.000 -0500,9.7518,-0.0982,240000000.0,10.0,,,,,,,,,,,,,,,,,,,,10.0,https://www.sec.gov/Archives/edgar/data/1822912/000121390021002858/f424b40121_26capitalacq.htm,2021-03-08,2480530
0.0,5000296.0,0.0,299743.0,0.0,275761.0,,,ADERU,,,0.0,241023982.0,,,13,3,0,0,2,0,3,1,10,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,,,,1.0,,1000,2021-01-15 19:00:00.000 -0500,10.6,-0.02,240000000.0,10.0,,,,,,,,,,,,,,,,,,,,10.0,https://www.sec.gov/Archives/edgar/data/1822912/000121390021002858/f424b40121_26capitalacq.htm,2021-01-15,2480530
0.0,5000296.0,0.0,299743.0,0.0,275761.0,,,ADERW,,,0.0,241023982.0,,,13,3,0,0,2,0,3,1,10,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,,,,1.0,,120003,2021-03-08 19:00:00.000 -0500,1.08,0.13,240000000.0,10.0,,,,,,,,,,,,,,,,,,,,10.0,https://www.sec.gov/Archives/edgar/data/1822912/000121390021002858/f424b40121_26capitalacq.htm,2021-03-08,2480530
0.0,4999786.0,0.0,34800.0,,,0.0,10300.0,ADEX,,,0.0,241024500.0,,,54,6,0,0,2,0,13,30,16,16,0,2,6,0,0,2,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,4,0,0,0,,,3.0,1.0,,247002,2021-03-02 19:00:00.000 -0500,9.76,0.06,240000000.0,10.0,,,,,,,,,,,,,,,,,,,,10.0,https://www.sec.gov/Archives/edgar/data/1830029/000119312521008234/d70200d424b4.htm,2021-03-02,1179127
0.0,4999786.0,0.0,34800.0,,,0.0,10300.0,ADEX,,,0.0,241024500.0,,,54,6,0,0,2,0,13,30,16,16,0,2,6,0,0,2,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,4,0,0,0,,,3.0,1.0,,247002,2021-03-02 19:00:00.000 -0500,9.76,0.06,240000000.0,10.0,,,,,,,,,,,,,,,,,,,,10.0,https://www.sec.gov/Archives/edgar/data/1830029/000119312521008236/d70200d424b4.htm,2021-03-02,1179127
0.0,4999786.0,0.0,34800.0,,,0.0,10300.0,ADEX,,,0.0,241024500.0,,,54,6,0,0,2,0,13,30,16,16,0,2,6,0,0,2,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,4,0,0,0,,,3.0,1.0,,247002,2021-03-02 19:00:00.000 -0500,9.76,0.06,240000000.0,10.0,,,,,,,,,,,,,,,,,,,,10.0,https://www.sec.gov/Archives/edgar/data/1830029/000119312521008234/d70200d424b4.htm,2021-03-02,1179127
0.0,4999786.0,0.0,34800.0,,,0.0,10300.0,ADEX,,,0.0,241024500.0,,,54,6,0,0,2,0,13,30,16,16,0,2,6,0,0,2,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,4,0,0,0,,,3.0,1.0,,247002,2021-03-02 19:00:00.000 -0500,9.76,0.06,240000000.0,10.0,,,,,,,,,,,,,,,,,,,,10.0,https://www.sec.gov/Archives/edgar/data/1830029/000119312521008236/d70200d424b4.htm,2021-03-02,1179127
0.0,24741.0,90531.0,178938.0,92591.0,162591.0,,,ADOC,,,,,,,10,15,21,0,0,0,8,8,49,3,0,0,0,0,0,1,1,0,0,0,4,70,3,8,22,5,0,0,0,0,0,5,4,3,0,,,3.0,1.0,,86762,2020-12-09 19:00:00.000 -0500,9.98,0.13,90000000.0,10.0,,,,1.0,,,,,,,,,,,,,,,,10.0,https://www.sec.gov/Archives/edgar/data/1824884/000121390020036368/f424b41120_edocacquisi.htm,2020-12-09,2623635
0.0,24741.0,90531.0,178938.0,92591.0,162591.0,,,ADOCR,,,,,,,10,15,21,0,0,0,8,8,49,3,0,0,0,0,0,1,1,0,0,0,4,70,3,8,22,5,0,0,0,0,0,5,4,3,0,,,3.0,1.0,,22490,2020-12-09 19:00:00.000 -0500,0.33,0.03,90000000.0,10.0,,,,1.0,,,,,,,,,,,,,,,,10.0,https://www.sec.gov/Archives/edgar/data/1824884/000121390020036368/f424b41120_edocacquisi.htm,2020-12-09,2623635
839440.0,877342.0,554871.0,887559.0,40451.0,63251.0,296897.0,326839.0,ADPT,56260.0,111290.0,0.0,562898.0,278430.0,459148.0,86,31,0,28,22,0,129,1,231,1,2,1,0,0,4,3,8,0,0,0,0,102,1,8,83,408,0,0,0,0,0,2,1,1,0,,1.0,,1.0,,5380464,2019-06-27 20:00:00.000 -0400,48.7,7.3,300000000.0,26.5,,,,,,,,,,,,,,3.0,2.0,,,,1.0,20.0,https://www.sec.gov/Archives/edgar/data/1478320/000119312519184483/d706383d424b4.htm,2019-06-27,2454727
