Fact_ID,Element_Name,Value,Unit,Is_Null,Context_Ref,Entity_ID,Period_Start,Period_End,Instant_Date,Taxonomy_Prefix,Element_Local_Name,Combined_Element_Name,Date_Part,Data_Type,Trend
Fact000400,SharesOutstanding,6418061.0,Shares,false,AsOf2024-03-31_us-gaap_CommonStockMember,0000923601,,,2024-03-31,us-gaap,SharesOutstanding,us-gaap:SharesOutstanding_2024-03-31,2024-03-31,xbrl,2498734.0
Fact000393,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,64000.0,USD,false,AsOf2024-03-31_us-gaap_CommonStockMember,0000923601,,,2024-03-31,us-gaap,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,us-gaap:StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest_2024-03-31,2024-03-31,xbrl,-27038000.0
Fact000423,SharesOutstanding,6418061.0,Shares,false,AsOf2024-06-30_us-gaap_CommonStockMember,0000923601,,,2024-06-30,us-gaap,SharesOutstanding,us-gaap:SharesOutstanding_2024-06-30,2024-06-30,xbrl,2498734.0
Fact000416,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,64000.0,USD,false,AsOf2024-06-30_us-gaap_CommonStockMember,0000923601,,,2024-06-30,us-gaap,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,us-gaap:StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest_2024-06-30,2024-06-30,xbrl,-27038000.0
Fact000734,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,1245000.0,USD,false,AsOf2024-06-30,0000923601,,,2024-06-30,us-gaap,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,us-gaap:CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations_2024-06-30,2024-06-30,xbrl,-1761000.0
Fact001472,Assets,12367000.0,USD,false,AsOf2024-06-30_us-gaap_OperatingSegmentsMember_custom_SingingMachineMember,0000923601,,,2024-06-30,us-gaap,Assets,us-gaap:Assets_2024-06-30,2024-06-30,xbrl,-15020000.0
Fact002364,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsPrepaidExpenseAndOtherAssets,13000.0,USD,false,AsOf2024-07-03_custom_SemiCabIncMember_srt_ScenarioPreviouslyReportedMember37441312,0000923601,,,2024-07-03,us-gaap,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsPrepaidExpenseAndOtherAssets,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsPrepaidExpenseAndOtherAssets_2024-07-03,2024-07-03,xbrl,364000.0
Fact002368,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedOtherNoncurrentAssets,14000.0,USD,false,AsOf2024-07-03_custom_SemiCabIncMember_srt_ScenarioPreviouslyReportedMember37441312,0000923601,,,2024-07-03,us-gaap,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedOtherNoncurrentAssets,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedOtherNoncurrentAssets_2024-07-03,2024-07-03,xbrl,475000.0
Fact002390,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNet,3395000.0,USD,false,AsOf2024-07-03_custom_SemiCabIncMember_srt_ScenarioPreviouslyReportedMember37441312,0000923601,,,2024-07-03,us-gaap,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNet,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNet_2024-07-03,2024-07-03,xbrl,-2953000.0
Fact002382,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesAccountsPayable,2679000.0,USD,false,AsOf2024-07-03_custom_SemiCabIncMember_srt_ScenarioPreviouslyReportedMember37441312,0000923601,,,2024-07-03,us-gaap,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesAccountsPayable,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesAccountsPayable_2024-07-03,2024-07-03,xbrl,-2307000.0
Fact002366,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment,3000.0,USD,false,AsOf2024-07-03_custom_SemiCabIncMember_srt_ScenarioPreviouslyReportedMember37441312,0000923601,,,2024-07-03,us-gaap,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment_2024-07-03,2024-07-03,xbrl,8000.0
Fact002362,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsReceivables,193000.0,USD,false,AsOf2024-07-03_custom_SemiCabIncMember_srt_ScenarioPreviouslyReportedMember37441312,0000923601,,,2024-07-03,us-gaap,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsReceivables,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsReceivables_2024-07-03,2024-07-03,xbrl,126000.0
Fact002360,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents,17000.0,USD,false,AsOf2024-07-03_custom_SemiCabIncMember_srt_ScenarioPreviouslyReportedMember37441312,0000923601,,,2024-07-03,us-gaap,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents_2024-07-03,2024-07-03,xbrl,576000.0
Fact003028,DeferredTaxAssetsValuationAllowance,8039000.0,USD,false,AsOf2024-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2024-12-31,us-gaap,DeferredTaxAssetsValuationAllowance,us-gaap:DeferredTaxAssetsValuationAllowance_2024-12-31,2024-12-31,xbrl,4439000.0
Fact000127,OtherLiabilitiesCurrent,145000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,OtherLiabilitiesCurrent,us-gaap:OtherLiabilitiesCurrent_2024-12-31,2024-12-31,xbrl,-97000.0
Fact000112,DerivativeLiabilitiesCurrent,16603000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,DerivativeLiabilitiesCurrent,us-gaap:DerivativeLiabilitiesCurrent_2024-12-31,2024-12-31,xbrl,0.0
Fact000100,AccruedLiabilitiesCurrent,4224000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,AccruedLiabilitiesCurrent,us-gaap:AccruedLiabilitiesCurrent_2024-12-31,2024-12-31,xbrl,681000.0
Fact003031,DeferredTaxAssetsNet,176000.0,USD,false,AsOf2024-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2024-12-31,us-gaap,DeferredTaxAssetsNet,us-gaap:DeferredTaxAssetsNet_2024-12-31,2024-12-31,xbrl,-927000.0
Fact000088,Assets,18302000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,Assets,us-gaap:Assets_2024-12-31,2024-12-31,xbrl,-15020000.0
Fact000082,IntangibleAssetsNetExcludingGoodwill,345000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,IntangibleAssetsNetExcludingGoodwill,us-gaap:IntangibleAssetsNetExcludingGoodwill_2024-12-31,2024-12-31,xbrl,-30000.0
Fact003034,DeferredTaxLiabilitiesPropertyPlantAndEquipment,39000.0,USD,false,AsOf2024-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2024-12-31,us-gaap,DeferredTaxLiabilitiesPropertyPlantAndEquipment,us-gaap:DeferredTaxLiabilitiesPropertyPlantAndEquipment_2024-12-31,2024-12-31,xbrl,-28000.0
Fact000079,OtherAssetsNoncurrent,124000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,OtherAssetsNoncurrent,us-gaap:OtherAssetsNoncurrent_2024-12-31,2024-12-31,xbrl,-89000.0
Fact000432,SharesOutstanding,470825.0,Shares,false,AsOf2024-12-31_us-gaap_CommonStockMember,0000923601,,,2024-12-31,us-gaap,SharesOutstanding,us-gaap:SharesOutstanding_2024-12-31,2024-12-31,xbrl,2498734.0
Fact003043,DeferredTaxLiabilitiesPrepaidExpenses,32000.0,USD,false,AsOf2024-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2024-12-31,us-gaap,DeferredTaxLiabilitiesPrepaidExpenses,us-gaap:DeferredTaxLiabilitiesPrepaidExpenses_2024-12-31,2024-12-31,xbrl,-3000.0
Fact000067,PrepaidExpenseAndOtherAssetsCurrent,120000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,PrepaidExpenseAndOtherAssetsCurrent,us-gaap:PrepaidExpenseAndOtherAssetsCurrent_2024-12-31,2024-12-31,xbrl,1083000.0
Fact000064,OtherAssetsCurrent,1621000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,OtherAssetsCurrent,us-gaap:OtherAssetsCurrent_2024-12-31,2024-12-31,xbrl,-1826000.0
Fact003046,DeferredTaxLiabilities,176000.0,USD,false,AsOf2024-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2024-12-31,us-gaap,DeferredTaxLiabilities,us-gaap:DeferredTaxLiabilities_2024-12-31,2024-12-31,xbrl,-927000.0
Fact000061,InventoryNet,2186000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,InventoryNet,us-gaap:InventoryNet_2024-12-31,2024-12-31,xbrl,-4138000.0
Fact000045,AccountsReceivableNet,4373000.0,USD,false,AsOf2024-12-31_us-gaap_NonrelatedPartyMember,0000923601,,,2024-12-31,us-gaap,AccountsReceivableNet,us-gaap:AccountsReceivableNet_2024-12-31,2024-12-31,xbrl,-4988920.0
Fact003088,DeferredTaxAssetsOther,8039000.0,USD,false,AsOf2024-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2024-12-31,us-gaap,DeferredTaxAssetsOther,us-gaap:DeferredTaxAssetsOther_2024-12-31,2024-12-31,xbrl,4439000.0
Fact000049,AllowanceForDoubtfulAccountsReceivableCurrent,274000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap:AllowanceForDoubtfulAccountsReceivableCurrent_2024-12-31,2024-12-31,xbrl,-38182.0
Fact000042,Cash,7550000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,Cash,us-gaap:Cash_2024-12-31,2024-12-31,xbrl,-5569000.0
Fact000130,LiabilitiesCurrent,28438000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,LiabilitiesCurrent,us-gaap:LiabilitiesCurrent_2024-12-31,2024-12-31,xbrl,-6959000.0
Fact000070,AssetsCurrent,16763000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,AssetsCurrent,us-gaap:AssetsCurrent_2024-12-31,2024-12-31,xbrl,-15586000.0
Fact000145,Liabilities,28823000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,Liabilities,us-gaap:Liabilities_2024-12-31,2024-12-31,xbrl,-10252000.0
Fact000189,CommonStockSharesOutstanding,470825.0,Shares,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,CommonStockSharesOutstanding,us-gaap:CommonStockSharesOutstanding_2024-12-31,2024-12-31,xbrl,2482481.0
Fact003004,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,179000.0,USD,false,AsOf2024-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2024-12-31,us-gaap,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,us-gaap:DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost_2024-12-31,2024-12-31,xbrl,20000.0
Fact000845,OtherFiniteLivedIntangibleAssetsGross,325000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,OtherFiniteLivedIntangibleAssetsGross,us-gaap:OtherFiniteLivedIntangibleAssetsGross_2024-12-31,2024-12-31,xbrl,0.0
Fact003001,DeferredTaxAssetsGoodwillAndIntangibleAssets,674000.0,USD,false,AsOf2024-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2024-12-31,us-gaap,DeferredTaxAssetsGoodwillAndIntangibleAssets,us-gaap:DeferredTaxAssetsGoodwillAndIntangibleAssets_2024-12-31,2024-12-31,xbrl,0.0
Fact000852,FiniteLivedIntangibleAssetsGross,375000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,FiniteLivedIntangibleAssetsGross,us-gaap:FiniteLivedIntangibleAssetsGross_2024-12-31,2024-12-31,xbrl,0.0
Fact003019,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsReturnsAndAllowances,476000.0,USD,false,AsOf2024-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2024-12-31,us-gaap,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsReturnsAndAllowances,us-gaap:DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsReturnsAndAllowances_2024-12-31,2024-12-31,xbrl,92000.0
Fact000855,FiniteLivedIntangibleAssetsAccumulatedAmortization,30000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,FiniteLivedIntangibleAssetsAccumulatedAmortization,us-gaap:FiniteLivedIntangibleAssetsAccumulatedAmortization_2024-12-31,2024-12-31,xbrl,30000.0
Fact000973,AccruedLiabilitiesCurrentAndNoncurrent,325000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,AccruedLiabilitiesCurrentAndNoncurrent,us-gaap:AccruedLiabilitiesCurrentAndNoncurrent_2024-12-31,2024-12-31,xbrl,184119.0
Fact002998,DeferredTaxAssetsInventory,355000.0,USD,false,AsOf2024-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2024-12-31,us-gaap,DeferredTaxAssetsInventory,us-gaap:DeferredTaxAssetsInventory_2024-12-31,2024-12-31,xbrl,-818000.0
Fact003025,DeferredTaxAssetsGross,8216000.0,USD,false,AsOf2024-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2024-12-31,us-gaap,DeferredTaxAssetsGross,us-gaap:DeferredTaxAssetsGross_2024-12-31,2024-12-31,xbrl,3514000.0
